
;Start
1,Terrible fate it is to marry monster - squishy, defenseless human.
1,The world will burn - you have three days. Have fun.
1,The riddle was spoken: 3, 4, 7, 11. Answer promptly.
1,A glorious host of paladins to be buried, for now.
1,The summer is coming, the ice melting. Where to live?
1,Why was Descartes forgotten? How to defeat the ubiquitous demon?
1,Offspring of other realm god, creates Stepford to conquer all.
1,Mutated Undead Orcs festooned with spikes, use tentacles to seduce.
1,Halfling Pie Eating Champion has challenged you! Eat or Die! 
1,Infant drow on doorstep. Adopt it or give it up?
1,Find the three golden thrushes whose song will heal king.
1,Players will die unless find cure hidden on level ten.
1,Wizards lost plot. Can you save them from financial ruin?
1,Ghost of enemy killed haunts a PCs weapon, murders NPCs.
1,Sorry for your loss. The Princess is in another castle.
1,The dragon came to eat you. You aren't that tasty.
1,Five caves have opened up. You get to pick one.
1,The summer sun is falling upon the fair realm. Literally.
1,You wake up with a written note and no kidneys.
1,Somebody stole your favorite pink teddy. Which kind? Gender specific.
1,Military captain becomes undead minion to increase a deity's influence.
1,Local halfling brewery gets poisoned water. Town and trade sick.
1,Assassin turns over new leaf. Opens bar. Town not happy.
1,Dungeon found with lots of treasure. Everyone wants a piece.
1,Crazy man attempts to create half breeds. Nature not like.
1,Airship fleet approaches your home town, can you defend it?
1,Mutant pheasants claim your child, an adventure in the wild.
1,Unnatural wind claims a local kingdom, has nature turned evil?
1,Technocrats' son lost in latest project, a portal to beyond.
1,The world is flooded and angels rule with magical fists.
1,Five spells must be read to birth a new world.
1,Never ending winter caused by warforged wizards and lich queen.
1,Blue bolts rain from the sky, the gods are angry.
1,Pun-pun makes an entrance, sanity is all but lost.
1,Nation of ghosts rise from the sea, they demand rights.
1,Warehouse of berserk animated objects, no more need be said.
1,An island rises from the sea. Rival nations claim it.
1,Demon summoned in bar offers last man standing one wish.
1,Benevolent active gods, evil empires, the heroes are pirate clerics.
1,Searching untamed jungles on other planets for new alchemical components.
1,Earth Mother is insane. Cure her to save the world.
1,The President Elect has no children for the ritual sacrifice.
1,The mightiest superheroes turn evil. Second stringers must stop them.
1,Elderly magical girls must transform once again. Any power left?
1,The best magic items are dangerously radioactive. Find a cure.
