
;Start
1,<strong>1d4 rolls:</strong><br/><sgdisplay iterations="1">[1d4] [1d4] [1d4] [1d4] [1d4]</sgdisplay><br>
_<strong>1d6 rolls:</strong><br/><sgdisplay iterations="1">[1d6] [1d6] [1d6] [1d6] [1d6]</sgdisplay><br>
_<strong>1d8 rolls:</strong><br/><sgdisplay iterations="1">[1d8] [1d8] [1d8] [1d8] [1d8]</sgdisplay><br>
_<strong>1d10 rolls:</strong><br/><sgdisplay iterations="1">[1d10] [1d10] [1d10] [1d10] [1d10]</sgdisplay><br>
_<strong>1d12 rolls:</strong><br/><sgdisplay iterations="1">[1d12] [1d12] [1d12] [1d12] [1d12]</sgdisplay><br>
_<strong>1d20 rolls:</strong><br/><sgdisplay iterations="1">[1d20] [1d20] [1d20] [1d20] [1d20]</sgdisplay><br>
_<strong>2d6 rolls:</strong><br/><sgdisplay iterations="1">[2d6] [2d6] [2d6] [2d6] [2d6] [2d6]</sgdisplay><br>
_<strong>3d6 rolls:</strong><br/><sgdisplay iterations="1">[3d6] [3d6] [3d6] [3d6] [3d6] [3d6]</sgdisplay><br>


#Dice in this table: 1d2, 1d3, 1d4, 1d6, 1d8, 1d10, 1d12, 1d20, 2d4, 2d6, 2d8, 3d6, 4d4, 5d4, 4d6, 5d6 and "digit" (0-9).
#
#Example of use:
#<code>
#[Dice.1d2]
#[Dice.2d6]
#[Dice.digit]
#</code>

;digit
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,0

;1d2
1,1
1,2

;2d2
1,2
2,3
1,4

;1d3
1,1
1,2
1,3

;1d3+3
1,4
1,5
1,6

;2d3
1,2
2,3
3,4
2,5
1,6

;1d4
1,1
1,2
1,3
1,4

;1d4+1
1,2
1,3
1,4
1,5

;1d4+2
1,3
1,4
1,5
1,6

;1d4+3
1,4
1,5
1,6
1,7

;1d4+4
1,5
1,6
1,7
1,8

;1d4+6
1,7
1,8
1,9
1,10

;2d4
1,2
2,3
3,4
4,5
3,6
2,7
1,8

;3d4
2,3
5,4
9,5
16,6
19,7
19,8
16,9
9,10
5,11
2,12

;4d4
1,4
4,5
10,6
20,7
31,8
40,9
44,10
40,11
31,12
20,13
10,14
4,15
1,16

;5d4
1,5
5,6
15,7
34,8
64,9
99,10
131,11
151,12
151,13
131,14
99,15
64,16
34,17
15,18
5,19
1,20

;1d6
1,1
1,2
1,3
1,4
1,5
1,6

;1d6+1
1,2
1,3
1,4
1,5
1,6
1,7

;1d6+3
1,4
1,5
1,6
1,7
1,8
1,9

;1d6+10
1,11
1,12
1,13
1,14
1,15
1,16

;2d6
1,2
2,3
3,4
4,5
5,6
6,7
5,8
4,9
3,10
2,11
1,12

;3d6
1,3
3,4
6,5
10,6
15,7
21,8
25,9
27,10
27,11
25,12
21,13
15,14
10,15
6,16
3,17
1,18

;4d6
1,4
4,5
10,6
20,7
35,8
56,9
80,10
104,11
125,12
140,13
146,14
140,15
125,16
104,17
80,18
56,19
35,20
20,21
10,22
4,23
1,24

;5d6
1,5
6,6
19,7
45,8
90,9
162,10
264,11
392,12
540,13
694,14
837,15
945,16
1003,17
1003,18
945,19
837,20
694,21
540,22
392,23
264,24
162,25
90,26
45,27
19,28
6,29
1,30

;1d8
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8

;1d8+1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9

;2d8
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
7,10
6,11
5,12
4,13
3,14
2,15
1,16

;3d8
1,3
3,4
6,5
10,6
15,7
21,8
27,9
35,10
41,11
45,12
47,13
47,14
45,15
41,16
35,17
27,18
21,19
15,20
10,21
6,22
3,23
1,24

;4d8
1,4
5,5
12,6
25,7
43,8
69,9
103,10
147,11
197,12
249,13
301,14
347,15
385,16
410,17
420,18
410,19
385,20
347,21
301,22
249,23
197,24
147,25
103,26
69,27
43,28
25,29
12,30
5,31
1,32

;1d10
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10

;1d12
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12

;1d20
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20

;1d100
1,[1d10][digit]


