
;Start
1,1: REFORMER - The Rational, Idealistic Type: Principled, Purposeful, Self-Controlled, and Perfectionistic
1,2: HELPER - The Caring, Interpersonal Type: Demonstrative, Generous, People-Pleasing, and Possessive
1,3: ACHIEVER - The Success-Oriented, Pragmatic Type: Adaptive, Excelling, Driven, and Image-Conscious
1,4: INDIVIDUALIST - The Sensitive, Withdrawn Type: Expressive, Dramatic, Self-Absorbed, and Temperamental
1,5: THE INVESTIGATOR - The Intense, Cerebral Type: Perceptive, Innovative, Secretive, and Isolated
1,6: THE LOYALIST - The Committed, Security-Oriented Type: Engaging, Responsible, Anxious, and Suspicious
1,7: ENTHUSIAST - The Busy, Fun-Loving Type: Spontaneous, Versatile, Distractible, and Scattered
1,8: CHALLENGER - The Powerful, Dominating Type: Self-Confident, Decisive, Willful, and Confrontational
1,9: PEACEMAKER - The Easygoing, Self-Effacing Type: Receptive, Reassuring, Agreeable, and Complacent


